model,dataset,target,horizon,seed,MAE,RMSE,sMAPE,wMAPE,MSE,train_time_s,inference_ms,n_params,peak_gpu_mb
dlinear,etth1,HUFL,24,46,3.075868637850049,4.630779594304834,47.904016726416494,30.440536117978308,21.444119651030043,21.360393347001263,48.8838758500151,16176,26.25
itransformer,etth1,HUFL,24,42,3.3841488578556453,5.020363321050461,50.23167136702905,33.49145157518,25.20404787534881,42.37127027900169,37.840097399976,311448,164.8173828125
itransformer,etth1,HUFL,24,43,3.368260376332452,4.969241289779722,50.35338296990312,33.3342101736081,24.69335899605164,37.43530143700082,39.21595809997598,311448,164.8173828125
itransformer,etth1,HUFL,24,44,3.3719031129780257,4.99152125093127,50.25294744610649,33.3702607562186,24.915284398498475,40.38062121800067,38.12860684997759,311448,164.8173828125
itransformer,etth1,HUFL,24,45,3.4983685096735373,5.192809756827276,51.47031791021956,34.62183386581504,26.96527317060056,71.0709716099991,38.72873969999091,311448,164.8173828125
itransformer,etth1,HUFL,24,46,3.3717779914405925,4.944994722880315,50.35309991738328,33.36902248270051,24.45297280931416,37.73913070799972,40.26692960001128,311448,164.8173828125
patchtst,etth1,HUFL,24,42,3.052150515296856,4.52538241894178,47.94752445825925,30.20580815939559,20.47908603766735,76.80415174300106,57.995426699972086,168280,608.3154296875
patchtst,etth1,HUFL,24,43,3.1060789373930557,4.581887876128959,48.43233699593272,30.739514332801093,20.99369650941754,107.31997301899992,40.64507580001191,168280,608.3154296875
patchtst,etth1,HUFL,24,44,3.142466664768137,4.601883786840345,48.804109550403965,31.09962786813938,21.177334387584036,110.2921670100004,38.78615895000621,168280,608.3154296875
patchtst,etth1,HUFL,24,45,3.0975438073861845,4.570308030531908,48.648333367168,30.655045857766545,20.88771549394445,96.2753764550007,42.36458210002638,168280,608.3154296875
patchtst,etth1,HUFL,24,46,3.0936135695045315,4.569260361553307,48.38141884754252,30.616150000278843,20.87814025166226,92.05343681399972,43.62197030000061,168280,608.3154296875
sarima,etth1,HUFL,24,42,3.4503315396795067,4.923717486438291,52.92426772578326,34.14643283531993,24.2429938862582,110.8209590249462,9.297750610858202,0,0.0
seasonal_naive,etth1,HUFL,24,42,3.312264161981741,5.444318474938076,46.0687929290298,32.78003995826225,29.640603656552056,3.343400021549314e-05,0.0036823499613092,0,0.0
timesfm,etth1,HUFL,24,42,3.157655062088752,4.877879379497715,48.32876502947776,31.24994084039151,23.793707240929017,0.0,98.19015780012704,200000000,895.5625
xgboost,etth1,HUFL,24,42,3.724929949593687,5.197311298882229,55.56305325108989,36.86401404541175,27.01204473748888,4.690853699999934,10.415268399992785,188654,0.0
